id,trip_id,route_id,timestamp,actual_arrival_time,delay_seconds,stop_id
1,104050_2..N,2,NULL,NULL,0,416N
2,104050_2..N,2,NULL,NULL,0,222N
3,104050_2..N,2,NULL,NULL,0,221N
4,104050_2..N,2,NULL,NULL,0,220N
5,104050_2..N,2,NULL,NULL,0,219N
6,104050_2..N,2,NULL,NULL,0,218N
7,104050_2..N,2,NULL,NULL,0,217N
8,104050_2..N,2,NULL,NULL,0,216N
9,104050_2..N,2,NULL,NULL,0,215N
10,104050_2..N,2,NULL,NULL,0,214N
11,104050_2..N,2,NULL,NULL,0,213N
12,104050_2..N,2,NULL,NULL,0,212N
13,104050_2..N,2,NULL,NULL,0,211N
14,104050_2..N,2,NULL,NULL,0,210N
15,104050_2..N,2,NULL,NULL,0,209N
16,104050_2..N,2,NULL,NULL,0,208N
17,104050_2..N,2,NULL,NULL,0,207N
18,104050_2..N,2,NULL,NULL,0,206N
19,104050_2..N,2,NULL,NULL,0,205N
20,104050_2..N,2,NULL,NULL,0,204N
21,104050_2..N,2,NULL,NULL,0,201N
22,102950_2..N,2,NULL,NULL,0,216N
23,102950_2..N,2,NULL,NULL,0,215N
24,102950_2..N,2,NULL,NULL,0,214N
25,102950_2..N,2,NULL,NULL,0,213N
26,102950_2..N,2,NULL,NULL,0,212N
27,102950_2..N,2,NULL,NULL,0,211N
28,102950_2..N,2,NULL,NULL,0,210N
29,102950_2..N,2,NULL,NULL,0,209N
30,102950_2..N,2,NULL,NULL,0,208N
31,102950_2..N,2,NULL,NULL,0,207N
32,102950_2..N,2,NULL,NULL,0,206N
33,102950_2..N,2,NULL,NULL,0,205N
34,102950_2..N,2,NULL,NULL,0,204N
35,102950_2..N,2,NULL,NULL,0,201N
36,104750_1..N,1,NULL,NULL,0,109N
37,104750_1..N,1,NULL,NULL,0,108N
38,104750_1..N,1,NULL,NULL,0,107N
39,104750_1..N,1,NULL,NULL,0,106N
40,104750_1..N,1,NULL,NULL,0,104N
41,104750_1..N,1,NULL,NULL,0,103N
42,104750_1..N,1,NULL,NULL,0,101N
43,000650_1..S03X039,1,NULL,NULL,0,115S
44,000650_1..S03X039,1,NULL,NULL,0,116S
45,000650_1..S03X039,1,NULL,NULL,0,117S
46,000650_1..S03X039,1,NULL,NULL,0,118S
47,000650_1..S03X039,1,NULL,NULL,0,119S
48,000650_1..S03X039,1,NULL,NULL,0,120S
49,000650_1..S03X039,1,NULL,NULL,0,123S
50,000650_1..S03X039,1,NULL,NULL,0,124S
51,000650_1..S03X039,1,NULL,NULL,0,125S
52,000650_1..S03X039,1,NULL,NULL,0,126S
53,000650_1..S03X039,1,NULL,NULL,0,127S
54,000650_1..S03X039,1,NULL,NULL,0,128S
55,000650_1..S03X039,1,NULL,NULL,0,129S
56,000650_1..S03X039,1,NULL,NULL,0,130S
57,000650_1..S03X039,1,NULL,NULL,0,131S
58,000650_1..S03X039,1,NULL,NULL,0,132S
59,000650_1..S03X039,1,NULL,NULL,0,133S
60,000650_1..S03X039,1,NULL,NULL,0,134S
61,000650_1..S03X039,1,NULL,NULL,0,135S
62,000650_1..S03X039,1,NULL,NULL,0,136S
63,000650_1..S03X039,1,NULL,NULL,0,137S
64,000650_1..S03X039,1,NULL,NULL,0,138S
65,000650_1..S03X039,1,NULL,NULL,0,139S
66,000650_1..S03X039,1,NULL,NULL,0,142S
67,104350_1..N03R,1,NULL,NULL,0,101N
